,model,scenario,ssp_gini_coefficient,ssp,region
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.3191128638142811,2,Countries of Latin America and the Caribbean
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.3191128638142811,2,Countries of Latin America and the Caribbean
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.3191128638142811,2,Countries of Latin America and the Caribbean
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.3191128638142811,2,Countries of Latin America and the Caribbean
37,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.3191128638142811,2,Countries of Latin America and the Caribbean
38,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.3191128638142811,2,Countries of Latin America and the Caribbean
39,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.3191128638142811,2,Countries of Latin America and the Caribbean
40,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.3191128638142811,2,Countries of Latin America and the Caribbean
41,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.3191128638142811,2,Countries of Latin America and the Caribbean
42,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
43,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.3191128638142811,2,Countries of Latin America and the Caribbean
44,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.3191128638142811,2,Countries of Latin America and the Caribbean
45,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.3191128638142811,2,Countries of Latin America and the Caribbean
46,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.3191128638142811,2,Countries of Latin America and the Caribbean
47,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.3191128638142811,2,Countries of Latin America and the Caribbean
48,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.3191128638142811,2,Countries of Latin America and the Caribbean
49,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
50,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.3191128638142811,2,Countries of Latin America and the Caribbean
51,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
52,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.3191128638142811,2,Countries of Latin America and the Caribbean
53,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.3191128638142811,2,Countries of Latin America and the Caribbean
54,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,0.3191128638142811,2,Countries of Latin America and the Caribbean
55,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,0.3191128638142811,2,Countries of Latin America and the Caribbean
56,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,0.3191128638142811,2,Countries of Latin America and the Caribbean
57,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,0.3191128638142811,2,Countries of Latin America and the Caribbean
58,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,0.3191128638142811,2,Countries of Latin America and the Caribbean
59,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,0.3191128638142811,2,Countries of Latin America and the Caribbean
60,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,0.3191128638142811,2,Countries of Latin America and the Caribbean
61,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,0.3191128638142811,2,Countries of Latin America and the Caribbean
62,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,0.3191128638142811,2,Countries of Latin America and the Caribbean
63,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.3191128638142811,2,Countries of Latin America and the Caribbean
64,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,0.3191128638142811,2,Countries of Latin America and the Caribbean
65,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.3191128638142811,2,Countries of Latin America and the Caribbean
66,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.3191128638142811,2,Countries of Latin America and the Caribbean
67,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.3191128638142811,2,Countries of Latin America and the Caribbean
68,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.3191128638142811,2,Countries of Latin America and the Caribbean
69,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.3191128638142811,2,Countries of Latin America and the Caribbean
70,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.3191128638142811,2,Countries of Latin America and the Caribbean
71,REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.3191128638142811,2,Countries of Latin America and the Caribbean
72,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.3191128638142811,2,Countries of Latin America and the Caribbean
73,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.3191128638142811,2,Countries of Latin America and the Caribbean
74,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.3191128638142811,2,Countries of Latin America and the Caribbean
75,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.3191128638142811,2,Countries of Latin America and the Caribbean
76,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.3191128638142811,2,Countries of Latin America and the Caribbean
77,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.3191128638142811,2,Countries of Latin America and the Caribbean
78,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.3191128638142811,2,Countries of Latin America and the Caribbean
79,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.3191128638142811,2,Countries of Latin America and the Caribbean
80,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.3191128638142811,2,Countries of Latin America and the Caribbean
81,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.3191128638142811,2,Countries of Latin America and the Caribbean
82,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.3191128638142811,2,Countries of Latin America and the Caribbean
83,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.3191128638142811,2,Countries of Latin America and the Caribbean
84,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.3191128638142811,2,Countries of Latin America and the Caribbean
85,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.2955410778250738,1,Countries of Latin America and the Caribbean
86,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.2955410778250738,1,Countries of Latin America and the Caribbean
87,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.3191128638142811,2,Countries of Latin America and the Caribbean
88,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.3191128638142811,2,Countries of Latin America and the Caribbean
89,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.3191128638142811,2,Countries of Latin America and the Caribbean
90,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.3191128638142811,2,Countries of Latin America and the Caribbean
91,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
92,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
93,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
94,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.3191128638142811,2,Countries of Latin America and the Caribbean
95,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
96,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
97,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
98,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.3191128638142811,2,Countries of Latin America and the Caribbean
99,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.3191128638142811,2,Countries of Latin America and the Caribbean
100,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.3191128638142811,2,Countries of Latin America and the Caribbean
101,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.3191128638142811,2,Countries of Latin America and the Caribbean
102,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.3191128638142811,2,Countries of Latin America and the Caribbean
103,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
104,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.3191128638142811,2,Countries of Latin America and the Caribbean
105,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
106,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.3191128638142811,2,Countries of Latin America and the Caribbean
107,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
108,REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.3191128638142811,2,Countries of Latin America and the Caribbean
109,REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.3191128638142811,2,Countries of Latin America and the Caribbean
110,REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3191128638142811,2,Countries of Latin America and the Caribbean
111,REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2955410778250738,1,Countries of Latin America and the Caribbean
112,REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.3191128638142811,2,Countries of Latin America and the Caribbean
113,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.3191128638142811,2,Countries of Latin America and the Caribbean
114,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.3191128638142811,2,Countries of Latin America and the Caribbean
115,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3191128638142811,2,Countries of Latin America and the Caribbean
116,WITCH 5.0,EN_INDCi2030_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
117,WITCH 5.0,EN_NPi2020_400f,0.3191128638142811,2,Countries of Latin America and the Caribbean
118,WITCH 5.0,EN_NPi2020_450,0.3191128638142811,2,Countries of Latin America and the Caribbean
119,WITCH 5.0,EN_NPi2020_450f,0.3191128638142811,2,Countries of Latin America and the Caribbean
120,WITCH 5.0,EN_NPi2020_500,0.3191128638142811,2,Countries of Latin America and the Caribbean
121,WITCH 5.0,EN_NPi2020_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
122,AIM/CGE 2.2,EN_NPi2020_300f,0.1811076905715247,2,Countries of South Asia; primarily India
123,AIM/CGE 2.2,EN_NPi2020_400f,0.1811076905715247,2,Countries of South Asia; primarily India
124,AIM/CGE 2.2,EN_NPi2020_500f,0.1811076905715247,2,Countries of South Asia; primarily India
125,AIM/CGE 2.2,EN_NPi2020_600,0.1811076905715247,2,Countries of South Asia; primarily India
126,AIM/CGE 2.2,EN_NPi2020_600f,0.1811076905715247,2,Countries of South Asia; primarily India
127,GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.1811076905715247,2,Countries of South Asia; primarily India
128,GCAM 5.3,NGFS2_Net-Zero 2050,0.1811076905715247,2,Countries of South Asia; primarily India
129,IMAGE 3.2,SSP1_SPA1_19I_D,0.1582201980525328,1,Countries of South Asia; primarily India
130,IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1582201980525328,1,Countries of South Asia; primarily India
131,IMAGE 3.2,SSP1_SPA1_19I_LI,0.1582201980525328,1,Countries of South Asia; primarily India
132,IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.1582201980525328,1,Countries of South Asia; primarily India
133,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.1582201980525328,1,Countries of South Asia; primarily India
134,IMAGE 3.2,SSP1_SPA1_19I_RE,0.1582201980525328,1,Countries of South Asia; primarily India
135,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.1582201980525328,1,Countries of South Asia; primarily India
136,IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.1811076905715247,2,Countries of South Asia; primarily India
137,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.1811076905715247,2,Countries of South Asia; primarily India
138,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.1811076905715247,2,Countries of South Asia; primarily India
139,IMAGE 3.2,SSP2_SPA2_19I_D,0.1811076905715247,2,Countries of South Asia; primarily India
140,IMAGE 3.2,SSP2_SPA2_19I_LI,0.1811076905715247,2,Countries of South Asia; primarily India
141,IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.1811076905715247,2,Countries of South Asia; primarily India
142,IMAGE 3.2,SSP2_SPA2_19I_RE,0.1811076905715247,2,Countries of South Asia; primarily India
143,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.1811076905715247,2,Countries of South Asia; primarily India
144,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
145,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.1811076905715247,2,Countries of South Asia; primarily India
146,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.1811076905715247,2,Countries of South Asia; primarily India
147,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
148,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
149,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1811076905715247,2,Countries of South Asia; primarily India
150,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1811076905715247,2,Countries of South Asia; primarily India
151,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.1811076905715247,2,Countries of South Asia; primarily India
152,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1811076905715247,2,Countries of South Asia; primarily India
153,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.1811076905715247,2,Countries of South Asia; primarily India
154,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.1811076905715247,2,Countries of South Asia; primarily India
155,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1811076905715247,2,Countries of South Asia; primarily India
156,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.1811076905715247,2,Countries of South Asia; primarily India
157,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.1811076905715247,2,Countries of South Asia; primarily India
158,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1811076905715247,2,Countries of South Asia; primarily India
159,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.1811076905715247,2,Countries of South Asia; primarily India
160,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.1811076905715247,2,Countries of South Asia; primarily India
161,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.1811076905715247,2,Countries of South Asia; primarily India
162,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.1811076905715247,2,Countries of South Asia; primarily India
163,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.1811076905715247,2,Countries of South Asia; primarily India
164,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.1811076905715247,2,Countries of South Asia; primarily India
165,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.1811076905715247,2,Countries of South Asia; primarily India
166,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.1811076905715247,2,Countries of South Asia; primarily India
167,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.1811076905715247,2,Countries of South Asia; primarily India
168,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.1811076905715247,2,Countries of South Asia; primarily India
169,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.1811076905715247,2,Countries of South Asia; primarily India
170,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.1811076905715247,2,Countries of South Asia; primarily India
171,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.1811076905715247,2,Countries of South Asia; primarily India
172,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.1811076905715247,2,Countries of South Asia; primarily India
173,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.1811076905715247,2,Countries of South Asia; primarily India
174,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.1811076905715247,2,Countries of South Asia; primarily India
175,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.1811076905715247,2,Countries of South Asia; primarily India
176,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,0.1811076905715247,2,Countries of South Asia; primarily India
177,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,0.1811076905715247,2,Countries of South Asia; primarily India
178,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,0.1811076905715247,2,Countries of South Asia; primarily India
179,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,0.1811076905715247,2,Countries of South Asia; primarily India
180,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,0.1811076905715247,2,Countries of South Asia; primarily India
181,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,0.1811076905715247,2,Countries of South Asia; primarily India
182,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,0.1811076905715247,2,Countries of South Asia; primarily India
183,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,0.1811076905715247,2,Countries of South Asia; primarily India
184,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,0.1811076905715247,2,Countries of South Asia; primarily India
185,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.1811076905715247,2,Countries of South Asia; primarily India
186,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,0.1811076905715247,2,Countries of South Asia; primarily India
187,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.1811076905715247,2,Countries of South Asia; primarily India
188,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.1811076905715247,2,Countries of South Asia; primarily India
189,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.1811076905715247,2,Countries of South Asia; primarily India
190,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.1811076905715247,2,Countries of South Asia; primarily India
191,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.1811076905715247,2,Countries of South Asia; primarily India
192,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.1811076905715247,2,Countries of South Asia; primarily India
193,REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.1811076905715247,2,Countries of South Asia; primarily India
194,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.1811076905715247,2,Countries of South Asia; primarily India
195,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.1811076905715247,2,Countries of South Asia; primarily India
196,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.1811076905715247,2,Countries of South Asia; primarily India
197,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.1811076905715247,2,Countries of South Asia; primarily India
198,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.1811076905715247,2,Countries of South Asia; primarily India
199,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.1811076905715247,2,Countries of South Asia; primarily India
200,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.1811076905715247,2,Countries of South Asia; primarily India
201,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.1811076905715247,2,Countries of South Asia; primarily India
202,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.1811076905715247,2,Countries of South Asia; primarily India
203,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.1811076905715247,2,Countries of South Asia; primarily India
204,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.1811076905715247,2,Countries of South Asia; primarily India
205,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.1811076905715247,2,Countries of South Asia; primarily India
206,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.1811076905715247,2,Countries of South Asia; primarily India
207,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.1582201980525328,1,Countries of South Asia; primarily India
208,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.1582201980525328,1,Countries of South Asia; primarily India
209,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.1811076905715247,2,Countries of South Asia; primarily India
210,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.1811076905715247,2,Countries of South Asia; primarily India
211,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.1811076905715247,2,Countries of South Asia; primarily India
212,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.1811076905715247,2,Countries of South Asia; primarily India
213,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.1811076905715247,2,Countries of South Asia; primarily India
214,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.1811076905715247,2,Countries of South Asia; primarily India
215,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
216,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.1811076905715247,2,Countries of South Asia; primarily India
217,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.1811076905715247,2,Countries of South Asia; primarily India
218,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
219,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.1811076905715247,2,Countries of South Asia; primarily India
220,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.1811076905715247,2,Countries of South Asia; primarily India
221,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.1811076905715247,2,Countries of South Asia; primarily India
222,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.1811076905715247,2,Countries of South Asia; primarily India
223,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.1811076905715247,2,Countries of South Asia; primarily India
224,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.1811076905715247,2,Countries of South Asia; primarily India
225,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.1811076905715247,2,Countries of South Asia; primarily India
226,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.1811076905715247,2,Countries of South Asia; primarily India
