,model,scenario,final_energy_demand,energy_per_gdp,region
112,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,7051.324915728709,0.00014164215406624445,Countries of South Asia; primarily India
113,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,7052.911236638841,0.00014167401898715457,Countries of South Asia; primarily India
114,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,7015.775605619877,0.00014092806989087744,Countries of South Asia; primarily India
115,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,7006.127108422937,0.00014073425752233147,Countries of South Asia; primarily India
116,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,7025.867001645127,0.00014113077890614352,Countries of South Asia; primarily India
117,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,6997.811192492643,0.00014056721312876615,Countries of South Asia; primarily India
118,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,6997.872815138771,0.00014056845096205339,Countries of South Asia; primarily India
119,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,6998.842698315331,0.0001405879333075239,Countries of South Asia; primarily India
120,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,6999.318732596527,0.00014059749555640725,Countries of South Asia; primarily India
121,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,7001.206174035979,0.00014063540918050904,Countries of South Asia; primarily India
122,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,7033.1284218144065,0.00014127663544027304,Countries of South Asia; primarily India
123,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,6517.9311,0.00021383101273915575,Countries of South Asia; primarily India
124,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,5954.9286,0.00019867895987319748,Countries of South Asia; primarily India
125,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,6643.22835,0.00021723262272222647,Countries of South Asia; primarily India
126,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,6482.8593,0.0002122955879475929,Countries of South Asia; primarily India
127,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,6374.75955,0.0002094543697034225,Countries of South Asia; primarily India
128,REMIND-MAgPIE 1.7-3.0,CO_Bridge,6024.002100000001,0.00019863080947939032,Countries of South Asia; primarily India
129,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,5838.94565,0.00019541077492058056,Countries of South Asia; primarily India
130,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,5759.063099999999,0.00019247730501241271,Countries of South Asia; primarily India
131,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,5858.885900000001,0.00019561939260592364,Countries of South Asia; primarily India
132,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,6374.75955,0.0002094543697034225,Countries of South Asia; primarily India
133,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,6482.8593,0.0002122955879475929,Countries of South Asia; primarily India
134,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,6055.33675,0.00019917350918617494,Countries of South Asia; primarily India
135,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,6180.6026,0.00020337757758594126,Countries of South Asia; primarily India
136,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,5615.8195,0.00019192238440209305,Countries of South Asia; primarily India
137,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,5601.00675,0.00019023111556393731,Countries of South Asia; primarily India
138,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,5709.6481,0.00019313397357345345,Countries of South Asia; primarily India
139,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,5071.1120999999985,0.0001604824716251037,Countries of South Asia; primarily India
140,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,5094.8803,0.00016103605818714212,Countries of South Asia; primarily India
141,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,5108.106000000001,0.00016130981238960909,Countries of South Asia; primarily India
142,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,5007.0427500000005,0.00017845886883397896,Countries of South Asia; primarily India
143,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,5014.825849999999,0.00017855136196622448,Countries of South Asia; primarily India
144,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,5124.79215,0.00016168385620883696,Countries of South Asia; primarily India
145,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,5023.8907,0.0001768944442369289,Countries of South Asia; primarily India
146,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,5030.0289,0.00017710249175663097,Countries of South Asia; primarily India
147,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,5129.827549999999,0.00016186485028930038,Countries of South Asia; primarily India
148,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,5077.7141,0.00016027060489742193,Countries of South Asia; primarily India
149,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,5103.401750000001,0.00016091710971802154,Countries of South Asia; primarily India
150,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,4908.2862,0.00015273338945988953,Countries of South Asia; primarily India
151,WITCH 5.0,EN_INDCi2030_500f,2268.6641186597208,6.608779990020104e-05,Countries of South Asia; primarily India
152,AIM/CGE 2.2,EN_NPi2020_400f,2504.1638,7.05831986519316e-05,Countries of Sub-Saharan Africa
153,AIM/CGE 2.2,EN_NPi2020_500f,2514.4859,7.077266921263593e-05,Countries of Sub-Saharan Africa
154,AIM/CGE 2.2,EN_NPi2020_600f,2524.2235,7.094995157115088e-05,Countries of Sub-Saharan Africa
155,GCAM 5.3,NGFS2_Divergent Net Zero Policies,4421.022212274999,0.0001300229018056991,Countries of Sub-Saharan Africa
156,GCAM 5.3,NGFS2_Net-Zero 2050,4317.04410568,0.00012315052244779115,Countries of Sub-Saharan Africa
157,IMAGE 3.2,SSP1_SPA1_19I_D,3835.6622983398443,9.084550574294801e-05,Countries of Sub-Saharan Africa
158,IMAGE 3.2,SSP1_SPA1_19I_LI,3496.71346862793,8.281769321380888e-05,Countries of Sub-Saharan Africa
159,IMAGE 3.2,SSP1_SPA1_19I_LIRE,4149.215252197266,0.00011510085140146541,Countries of Sub-Saharan Africa
160,IMAGE 3.2,SSP1_SPA1_19I_RE,3906.1098806152345,9.251401713482569e-05,Countries of Sub-Saharan Africa
161,IMAGE 3.2,SSP2_SPA2_19I_D,4800.163883300781,0.0001331584206295154,Countries of Sub-Saharan Africa
162,IMAGE 3.2,SSP2_SPA2_19I_LIRE,4534.682525634766,0.00012579386409502532,Countries of Sub-Saharan Africa
163,IMAGE 3.2,SSP2_SPA2_19I_RE,4496.687492187501,0.0001247398670297992,Countries of Sub-Saharan Africa
164,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,3536.9267032335324,8.409415029459635e-05,Countries of Sub-Saharan Africa
165,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,3545.944280474873,8.423086377863912e-05,Countries of Sub-Saharan Africa
166,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,4211.912031044697,8.808222621667648e-05,Countries of Sub-Saharan Africa
167,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,3710.3405177571926,8.698262875953385e-05,Countries of Sub-Saharan Africa
168,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,3720.06869109383,8.715044989867314e-05,Countries of Sub-Saharan Africa
169,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,4229.57170612778,8.832987897765318e-05,Countries of Sub-Saharan Africa
170,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,4334.35802264428,9.043036752885364e-05,Countries of Sub-Saharan Africa
171,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,4413.499089709169,9.157767308668049e-05,Countries of Sub-Saharan Africa
172,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,4493.069858577355,9.277296096971733e-05,Countries of Sub-Saharan Africa
173,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,4522.1756879196355,9.3228738187464e-05,Countries of Sub-Saharan Africa
174,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,4535.699810635025,9.3360127881157e-05,Countries of Sub-Saharan Africa
175,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,4713.944634608271,9.659320104616962e-05,Countries of Sub-Saharan Africa
176,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,4621.605418747566,9.530485031196538e-05,Countries of Sub-Saharan Africa
177,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,4568.433486936798,9.383544417290738e-05,Countries of Sub-Saharan Africa
178,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,3934.569922200826,9.092438825429837e-05,Countries of Sub-Saharan Africa
179,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,3933.0421288009866,8.542187207547926e-05,Countries of Sub-Saharan Africa
180,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,4806.8302776857,9.79907667291344e-05,Countries of Sub-Saharan Africa
181,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,4765.700706605426,9.722315349142068e-05,Countries of Sub-Saharan Africa
182,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,4701.629658800303,9.605840480584701e-05,Countries of Sub-Saharan Africa
183,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,4635.648239199839,9.492589323813773e-05,Countries of Sub-Saharan Africa
184,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,4743.909698214029,9.696971151165532e-05,Countries of Sub-Saharan Africa
185,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,4066.249201729245,9.347902982724669e-05,Countries of Sub-Saharan Africa
186,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,4613.962160466006,9.45878599934271e-05,Countries of Sub-Saharan Africa
187,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,3964.029915067855,9.144423987778592e-05,Countries of Sub-Saharan Africa
188,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,5217.7996789628605,0.00010481156305333593,Countries of Sub-Saharan Africa
189,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,5218.342425546906,0.00010482246537257311,Countries of Sub-Saharan Africa
190,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,5190.116323597645,0.00010425548322951631,Countries of Sub-Saharan Africa
191,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,5183.707429062344,0.00010412674576871859,Countries of Sub-Saharan Africa
192,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,5200.905013563031,0.00010447219900535371,Countries of Sub-Saharan Africa
193,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,5190.386818118647,0.00010426091673721437,Countries of Sub-Saharan Africa
194,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,5189.459140810345,0.000104242282194166,Countries of Sub-Saharan Africa
195,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,5184.121399902467,0.00010413506132992937,Countries of Sub-Saharan Africa
196,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,5181.626170005153,0.00010408493886975821,Countries of Sub-Saharan Africa
197,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,5186.002191588006,0.00010417284137835303,Countries of Sub-Saharan Africa
198,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,5219.556041979826,0.00010484684366286937,Countries of Sub-Saharan Africa
199,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,5481.524950000001,0.00017983007390388805,Countries of Sub-Saharan Africa
200,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,5363.9525,0.00017896176009721382,Countries of Sub-Saharan Africa
