,model,scenario,shannon_index,region
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,1.2150843551112847,Countries of Latin America and the Caribbean
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,1.218212608074866,Countries of Latin America and the Caribbean
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,1.1815235730898042,Countries of Latin America and the Caribbean
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,1.1646640886456232,Countries of Latin America and the Caribbean
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,1.1603889436991202,Countries of Latin America and the Caribbean
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,1.1826193117421409,Countries of Latin America and the Caribbean
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,1.2032376663679436,Countries of Latin America and the Caribbean
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,1.1620492460317475,Countries of Latin America and the Caribbean
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,1.1727350686001907,Countries of Latin America and the Caribbean
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,1.159083984710804,Countries of Latin America and the Caribbean
37,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,1.2101768656381067,Countries of Latin America and the Caribbean
38,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,1.2090429473223505,Countries of Latin America and the Caribbean
39,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,1.1944952895793999,Countries of Latin America and the Caribbean
40,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,1.1753934292653359,Countries of Latin America and the Caribbean
41,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,1.2395554907793471,Countries of Latin America and the Caribbean
42,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,1.2580075172112175,Countries of Latin America and the Caribbean
43,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,1.2044279890166447,Countries of Latin America and the Caribbean
44,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,1.201015927953598,Countries of Latin America and the Caribbean
45,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,1.0701939526400053,Countries of Latin America and the Caribbean
46,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,1.2240576534186305,Countries of Latin America and the Caribbean
47,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,1.2290509051338006,Countries of Latin America and the Caribbean
48,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,1.1713701819006308,Countries of Latin America and the Caribbean
49,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,1.213747158678333,Countries of Latin America and the Caribbean
50,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.147938866900288,Countries of Latin America and the Caribbean
51,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,1.2407121930405856,Countries of Latin America and the Caribbean
52,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,1.248970835188529,Countries of Latin America and the Caribbean
53,REMIND-MAgPIE 1.7-3.0,CO_Bridge,1.2821639374908935,Countries of Latin America and the Caribbean
54,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,1.1853441228605766,Countries of Latin America and the Caribbean
55,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.1650970258199846,Countries of Latin America and the Caribbean
56,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,1.1865499570601923,Countries of Latin America and the Caribbean
57,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,1.18529563929398,Countries of Latin America and the Caribbean
58,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0139964904856797,Countries of Latin America and the Caribbean
59,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,1.248970835188529,Countries of Latin America and the Caribbean
60,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,1.2407121930405856,Countries of Latin America and the Caribbean
61,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,1.2581274429617806,Countries of Latin America and the Caribbean
62,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,1.2598339296250087,Countries of Latin America and the Caribbean
63,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,1.1403199369310384,Countries of Latin America and the Caribbean
64,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,1.1933809690938901,Countries of Latin America and the Caribbean
65,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,1.1620628345403394,Countries of Latin America and the Caribbean
66,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,1.1711117079174342,Countries of Latin America and the Caribbean
67,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,1.2461144642844368,Countries of Latin America and the Caribbean
68,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,1.1108764035178305,Countries of Latin America and the Caribbean
69,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,1.2582011740483225,Countries of Latin America and the Caribbean
70,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,1.098955843839685,Countries of Latin America and the Caribbean
71,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,1.0514018310828153,Countries of Latin America and the Caribbean
72,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,1.091389415598686,Countries of Latin America and the Caribbean
73,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,1.1108120184971702,Countries of Latin America and the Caribbean
74,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,1.2803912241411837,Countries of Latin America and the Caribbean
75,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,1.276215735662185,Countries of Latin America and the Caribbean
76,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,1.1455848093974597,Countries of Latin America and the Caribbean
77,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,1.218538339126722,Countries of Latin America and the Caribbean
78,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,1.2215760710558097,Countries of Latin America and the Caribbean
79,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,1.1452039677344237,Countries of Latin America and the Caribbean
80,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,1.05756227638066,Countries of Latin America and the Caribbean
81,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,1.086918210003032,Countries of Latin America and the Caribbean
82,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,1.211814920297641,Countries of Latin America and the Caribbean
83,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,1.125293459911437,Countries of Latin America and the Caribbean
84,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,1.218013960879171,Countries of Latin America and the Caribbean
85,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,1.1525737715324171,Countries of Latin America and the Caribbean
86,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,1.2233253999347453,Countries of Latin America and the Caribbean
87,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,1.2822489083171253,Countries of Latin America and the Caribbean
88,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,1.1846299453371487,Countries of Latin America and the Caribbean
89,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,1.2331196149412817,Countries of Latin America and the Caribbean
90,REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,1.209887023725961,Countries of Latin America and the Caribbean
91,REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,1.2753991406083893,Countries of Latin America and the Caribbean
92,REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1.2496118811654306,Countries of Latin America and the Caribbean
93,REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,1.1842423776181588,Countries of Latin America and the Caribbean
94,REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,1.1659204964029144,Countries of Latin America and the Caribbean
95,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,1.0313472680159315,Countries of Latin America and the Caribbean
96,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.2591640171082648,Countries of Latin America and the Caribbean
97,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,1.0156383623136491,Countries of Latin America and the Caribbean
98,WITCH 5.0,EN_INDCi2030_500f,1.3071793957533238,Countries of Latin America and the Caribbean
99,WITCH 5.0,EN_NPi2020_400f,1.2627322589330112,Countries of Latin America and the Caribbean
100,WITCH 5.0,EN_NPi2020_450,1.2120416123880293,Countries of Latin America and the Caribbean
101,WITCH 5.0,EN_NPi2020_450f,1.2700600913904072,Countries of Latin America and the Caribbean
102,WITCH 5.0,EN_NPi2020_500,1.2328061180722079,Countries of Latin America and the Caribbean
103,WITCH 5.0,EN_NPi2020_500f,1.2816568118931628,Countries of Latin America and the Caribbean
104,IMAGE 3.2,SSP1_SPA1_19I_D,1.6200706372686742,Countries of South Asia; primarily India
105,IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.6062289881203768,Countries of South Asia; primarily India
106,IMAGE 3.2,SSP1_SPA1_19I_LI,1.6371914297935841,Countries of South Asia; primarily India
107,IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.7091567302587956,Countries of South Asia; primarily India
108,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.6387597967387153,Countries of South Asia; primarily India
109,IMAGE 3.2,SSP1_SPA1_19I_RE,1.6277563878757637,Countries of South Asia; primarily India
110,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.5898429385776733,Countries of South Asia; primarily India
111,IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.682337301710604,Countries of South Asia; primarily India
112,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.650792554162571,Countries of South Asia; primarily India
113,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.6673905528123336,Countries of South Asia; primarily India
114,IMAGE 3.2,SSP2_SPA2_19I_D,1.6979738904193225,Countries of South Asia; primarily India
115,IMAGE 3.2,SSP2_SPA2_19I_LI,1.6711311885052802,Countries of South Asia; primarily India
116,IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.6635139495441051,Countries of South Asia; primarily India
117,IMAGE 3.2,SSP2_SPA2_19I_RE,1.6903217940463788,Countries of South Asia; primarily India
118,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.513817800461207,Countries of South Asia; primarily India
119,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.5188268241090488,Countries of South Asia; primarily India
120,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.5201864110677057,Countries of South Asia; primarily India
121,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.5522560350226366,Countries of South Asia; primarily India
122,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.555511426261567,Countries of South Asia; primarily India
123,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.5251699965613297,Countries of South Asia; primarily India
124,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,1.4083076448941718,Countries of South Asia; primarily India
125,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,1.4385810833699157,Countries of South Asia; primarily India
126,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,1.4882918179282312,Countries of South Asia; primarily India
127,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,1.5446992844844136,Countries of South Asia; primarily India
128,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.5038450107500712,Countries of South Asia; primarily India
129,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,1.5511872819403978,Countries of South Asia; primarily India
130,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.5203558886910735,Countries of South Asia; primarily India
131,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,1.5760247900750755,Countries of South Asia; primarily India
132,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,1.5873153310447305,Countries of South Asia; primarily India
133,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,1.483882146043514,Countries of South Asia; primarily India
134,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,1.5263276366593164,Countries of South Asia; primarily India
135,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,1.5529744527335603,Countries of South Asia; primarily India
136,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,1.5618596260811075,Countries of South Asia; primarily India
137,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,1.5751314075044753,Countries of South Asia; primarily India
138,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,1.5349413424063363,Countries of South Asia; primarily India
139,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,1.536269347630291,Countries of South Asia; primarily India
140,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,1.4043913257791585,Countries of South Asia; primarily India
141,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,1.5058999068232848,Countries of South Asia; primarily India
142,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,1.517934221574739,Countries of South Asia; primarily India
143,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,1.522923130695449,Countries of South Asia; primarily India
144,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,1.5411287565655,Countries of South Asia; primarily India
145,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,1.6061011609231328,Countries of South Asia; primarily India
146,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,1.6234977842200438,Countries of South Asia; primarily India
147,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,1.5560278467246216,Countries of South Asia; primarily India
148,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,1.565625658951041,Countries of South Asia; primarily India
149,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,1.5366050486238236,Countries of South Asia; primarily India
150,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,1.5919179268069097,Countries of South Asia; primarily India
151,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,1.5116214100344958,Countries of South Asia; primarily India
152,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,1.4434794702462281,Countries of South Asia; primarily India
153,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,1.4755615123715848,Countries of South Asia; primarily India
154,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.4198736759294288,Countries of South Asia; primarily India
155,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,1.4832742734214999,Countries of South Asia; primarily India
156,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,1.510114811978346,Countries of South Asia; primarily India
157,REMIND-MAgPIE 1.7-3.0,CO_Bridge,1.4880377132423657,Countries of South Asia; primarily India
158,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,1.4307473504364845,Countries of South Asia; primarily India
159,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.4052095824867488,Countries of South Asia; primarily India
160,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,1.4173089626396516,Countries of South Asia; primarily India
161,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,1.423875027800164,Countries of South Asia; primarily India
162,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.1142336071095142,Countries of South Asia; primarily India
163,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,1.510114811978346,Countries of South Asia; primarily India
164,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,1.4832742734214999,Countries of South Asia; primarily India
165,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,1.4965794891137894,Countries of South Asia; primarily India
166,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,1.496110623262212,Countries of South Asia; primarily India
167,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,1.336861418184338,Countries of South Asia; primarily India
168,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,1.3909411130492253,Countries of South Asia; primarily India
169,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,1.3542197775850215,Countries of South Asia; primarily India
170,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,1.3813323431890527,Countries of South Asia; primarily India
171,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,1.234885537656826,Countries of South Asia; primarily India
172,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,1.0676384257421483,Countries of South Asia; primarily India
173,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,1.3811494100912172,Countries of South Asia; primarily India
174,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,1.17890057282093,Countries of South Asia; primarily India
175,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,1.238393153249979,Countries of South Asia; primarily India
176,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,1.2460689171237496,Countries of South Asia; primarily India
177,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,1.251562495851102,Countries of South Asia; primarily India
178,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,1.2857479427705412,Countries of South Asia; primarily India
179,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,1.2870345142148611,Countries of South Asia; primarily India
180,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,1.2603834172024997,Countries of South Asia; primarily India
181,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,1.2710635967627275,Countries of South Asia; primarily India
182,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,1.2720406506194868,Countries of South Asia; primarily India
183,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,1.259321580160931,Countries of South Asia; primarily India
184,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,1.1558486217573245,Countries of South Asia; primarily India
185,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,1.1686423800473986,Countries of South Asia; primarily India
186,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,1.0956230271807925,Countries of South Asia; primarily India
187,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,1.1863609208968044,Countries of South Asia; primarily India
188,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,1.1257534734414305,Countries of South Asia; primarily India
189,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,1.198444968575521,Countries of South Asia; primarily India
190,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,1.1611470983144674,Countries of South Asia; primarily India
191,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,1.248115966210375,Countries of South Asia; primarily India
192,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,1.21575476511695,Countries of South Asia; primarily India
193,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,1.2362839243115538,Countries of South Asia; primarily India
194,REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,1.0850994281358624,Countries of South Asia; primarily India
195,REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,1.2364438038309173,Countries of South Asia; primarily India
196,REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1.1973278934248792,Countries of South Asia; primarily India
197,REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,1.0499375704193525,Countries of South Asia; primarily India
198,REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,1.1913053908078195,Countries of South Asia; primarily India
199,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.8984788388673766,Countries of South Asia; primarily India
200,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,1.3071493347589187,Countries of South Asia; primarily India
201,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,1.1987622305438155,Countries of South Asia; primarily India
202,WITCH 5.0,EN_INDCi2030_500f,1.459872210654391,Countries of South Asia; primarily India
203,WITCH 5.0,EN_NPi2020_400f,1.4438158225114264,Countries of South Asia; primarily India
204,WITCH 5.0,EN_NPi2020_450,1.457106910962321,Countries of South Asia; primarily India
205,WITCH 5.0,EN_NPi2020_450f,1.4547778050879214,Countries of South Asia; primarily India
206,WITCH 5.0,EN_NPi2020_500,1.4530123019288792,Countries of South Asia; primarily India
207,WITCH 5.0,EN_NPi2020_500f,1.4562724287183624,Countries of South Asia; primarily India
208,IMAGE 3.2,SSP1_SPA1_19I_D,1.4734050214801586,Countries of Sub-Saharan Africa
209,IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.465088268926143,Countries of Sub-Saharan Africa
210,IMAGE 3.2,SSP1_SPA1_19I_LI,1.4833186493460044,Countries of Sub-Saharan Africa
211,IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.3792470930599419,Countries of Sub-Saharan Africa
212,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.3546717724262378,Countries of Sub-Saharan Africa
213,IMAGE 3.2,SSP1_SPA1_19I_RE,1.3724038917551096,Countries of Sub-Saharan Africa
214,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.338018010051674,Countries of Sub-Saharan Africa
215,IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.517712179383263,Countries of Sub-Saharan Africa
216,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.3555045613580976,Countries of Sub-Saharan Africa
217,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.3598707109212875,Countries of Sub-Saharan Africa
218,IMAGE 3.2,SSP2_SPA2_19I_D,1.4808256360683194,Countries of Sub-Saharan Africa
219,IMAGE 3.2,SSP2_SPA2_19I_LI,1.496797999074202,Countries of Sub-Saharan Africa
220,IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.3482054307255589,Countries of Sub-Saharan Africa
221,IMAGE 3.2,SSP2_SPA2_19I_RE,1.3361431382354598,Countries of Sub-Saharan Africa
222,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.229149452543833,Countries of Sub-Saharan Africa
223,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.2335492797918344,Countries of Sub-Saharan Africa
224,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.3066877005239053,Countries of Sub-Saharan Africa
225,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.288874930475892,Countries of Sub-Saharan Africa
226,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.2894667042628245,Countries of Sub-Saharan Africa
227,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.3111290371674138,Countries of Sub-Saharan Africa
228,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.995800517950262,Countries of Sub-Saharan Africa
229,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,1.0238005586992691,Countries of Sub-Saharan Africa
230,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,1.0857548002513862,Countries of Sub-Saharan Africa
231,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,1.3220259290397962,Countries of Sub-Saharan Africa
232,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.1091891229863675,Countries of Sub-Saharan Africa
233,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,1.3780156278288804,Countries of Sub-Saharan Africa
234,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.1090382606292533,Countries of Sub-Saharan Africa
235,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,1.3990770320238874,Countries of Sub-Saharan Africa
236,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,1.3590819227892026,Countries of Sub-Saharan Africa
